datetime;value
06/10/2016 14:09:33;152.36
06/10/2016 14:09:34;150.45
06/10/2016 14:09:35;148.51
06/10/2016 14:09:36;146.56
06/10/2016 14:09:37;144.65
06/10/2016 14:09:38;142.63
06/10/2016 14:09:39;140.96
06/10/2016 14:09:40;139.41
06/10/2016 14:09:41;137.72
06/10/2016 14:09:42;136.39
06/10/2016 14:09:43;134.39
06/10/2016 14:09:44;133.06
06/10/2016 14:09:45;133.8
06/10/2016 14:09:46;130.8
06/10/2016 14:09:47;130.23
06/10/2016 14:09:48;128.08
06/10/2016 14:09:49;126.84
06/10/2016 14:09:50;124.35
06/10/2016 14:09:51;121.97
06/10/2016 14:09:52;119.88
06/10/2016 14:09:53;117.98
06/10/2016 14:09:54;116.28
06/10/2016 14:09:55;114.5
06/10/2016 14:09:57;112.83
06/10/2016 14:09:58;110.89
06/10/2016 14:09:59;108.71
06/10/2016 14:10:00;106.56
06/10/2016 14:10:01;104.47
06/10/2016 14:10:03;100.84
06/10/2016 14:10:04;99.3
06/10/2016 14:10:07;95.96
06/10/2016 14:10:09;94.81
06/10/2016 14:10:11;91.06
06/10/2016 14:10:12;89.46
06/10/2016 14:10:13;88.18
06/10/2016 14:10:14;80.86
06/10/2016 14:10:15;86.38
06/10/2016 14:10:16;0.0
06/10/2016 14:10:17;85.8
06/10/2016 14:10:18;85.85
06/10/2016 14:10:19;85.46
06/10/2016 14:10:20;85.37
06/10/2016 14:10:22;85.21
06/10/2016 14:10:23;85.16
06/10/2016 14:10:24;85.09
06/10/2016 14:10:25;85.14
06/10/2016 14:10:26;85.14
06/10/2016 14:10:27;85.03
06/10/2016 14:10:28;84.88
06/10/2016 14:10:29;84.94
06/10/2016 14:10:30;84.96
06/10/2016 14:10:31;84.89
06/10/2016 14:10:32;84.8
06/10/2016 14:10:33;0.0
06/10/2016 14:10:34;84.78
06/10/2016 14:10:35;84.8
06/10/2016 14:10:36;84.82
06/10/2016 14:10:37;84.98
06/10/2016 14:10:39;85.8
06/10/2016 14:10:40;88.5
06/10/2016 14:10:41;90.28
06/10/2016 14:10:42;95.8
06/10/2016 14:10:43;90.99
06/10/2016 14:10:44;99.01
06/10/2016 14:10:45;100.85
06/10/2016 14:10:46;108.63
06/10/2016 14:10:47;107.73
06/10/2016 14:10:48;110.39
06/10/2016 14:10:49;112.15
06/10/2016 14:10:51;113.35
06/10/2016 14:10:52;114.28
06/10/2016 14:10:53;114.83
06/10/2016 14:10:54;115.4
06/10/2016 14:10:55;115.66
06/10/2016 14:10:56;115.97
06/10/2016 14:10:57;116.12
06/10/2016 14:10:58;116.25
06/10/2016 14:10:59;116.4
06/10/2016 14:11:00;116.42
06/10/2016 14:11:01;116.5
06/10/2016 14:11:02;116.62
06/10/2016 14:11:03;116.64
06/10/2016 14:11:04;116.57
06/10/2016 14:11:05;116.54
06/10/2016 14:11:06;116.89
06/10/2016 14:11:07;115.88
06/10/2016 14:11:08;113.9
06/10/2016 14:11:09;110.88
06/10/2016 14:11:10;100.1
06/10/2016 14:11:11;106.32
06/10/2016 14:11:12;105.7
06/10/2016 14:11:13;105.04
06/10/2016 14:11:14;104.42
06/10/2016 14:11:15;104.23
06/10/2016 14:11:16;104.04
06/10/2016 14:11:17;103.55
06/10/2016 14:11:18;102.33
06/10/2016 14:11:19;100.41
06/10/2016 14:11:20;98.53
06/10/2016 14:11:21;97.12
06/10/2016 14:11:22;96.14
06/10/2016 14:11:23;95.45
06/10/2016 14:11:24;94.99
06/10/2016 14:11:25;94.65
06/10/2016 14:11:26;94.32
06/10/2016 14:11:27;93.72
06/10/2016 14:11:28;92.45
06/10/2016 14:11:29;90.8
06/10/2016 14:11:30;89.44
06/10/2016 14:11:31;88.62
06/10/2016 14:11:32;87.82
06/10/2016 14:11:33;87.39
06/10/2016 14:11:34;87.17
06/10/2016 14:11:35;86.09
06/10/2016 14:11:36;86.3
06/10/2016 14:11:37;84.54
06/10/2016 14:11:38;80.95
06/10/2016 14:11:39;75.73
06/10/2016 14:11:40;73.58
06/10/2016 14:11:41;60.72
06/10/2016 14:11:42;66.5
06/10/2016 14:11:43;65.04
06/10/2016 14:11:44;63.96
06/10/2016 14:11:45;63.03
06/10/2016 14:11:47;62.37
06/10/2016 14:11:48;58.09
06/10/2016 14:11:49;48.18
06/10/2016 14:11:50;39.27
06/10/2016 14:11:51;32.17
06/10/2016 14:11:52;27.06
06/10/2016 14:11:53;23.37
06/10/2016 14:11:54;20.73
06/10/2016 14:11:55;18.84
06/10/2016 14:11:56;17.47
06/10/2016 14:11:57;16.49
06/10/2016 14:11:58;15.75
06/10/2016 14:11:59;15.21
06/10/2016 14:12:00;14.87
06/10/2016 14:12:01;14.63
06/10/2016 14:12:02;14.47
06/10/2016 14:12:03;18.33
06/10/2016 14:12:04;10.5
06/10/2016 14:12:05;9.86
06/10/2016 14:12:06;6.6
06/10/2016 14:12:07;8.99
06/10/2016 14:12:08;3.84
06/10/2016 14:12:09;2.9
06/10/2016 14:12:10;1.09
06/10/2016 14:12:11;0.88
06/10/2016 14:12:12;0.88
06/10/2016 14:12:13;0.53
06/10/2016 14:12:14;0.38
06/10/2016 14:12:15;0.28
06/10/2016 14:12:16;0.33
06/10/2016 14:12:17;0.1
06/10/2016 14:12:18;0.1
06/10/2016 14:12:19;0.0
06/10/2016 14:12:20;0.04
06/10/2016 14:12:21;0.0
06/10/2016 14:12:22;0.0
06/10/2016 14:12:23;0.0
06/10/2016 14:12:24;0.0
06/10/2016 14:12:25;0.0
06/10/2016 14:12:26;0.0
06/10/2016 14:12:27;0.0
06/10/2016 14:12:28;0.0
06/10/2016 14:12:29;0.0
