like1,pars_r,parr_p3,parr_p7,parr_px,parc_m1,parc_w1,chain
1.424,0.0466,0.02467,0.03336,0.007645,0.1588,5.44,1.0
0.818,0.02684,0.02519,0.02982,0.02237,0.425,4.527,2.0
1.099,0.01411,0.04913,0.005302,0.02885,0.7456,5.52,3.0
1.11,0.0417,0.02615,0.0326,0.01836,0.16,8.32,4.0
1.432,0.04083,0.00855,0.008804,0.00597,0.01545,4.312,5.0
1.638,0.03162,0.03087,0.01425,0.01237,0.02824,6.605,6.0
1.327,0.03473,0.01566,0.01569,0.00903,0.1515,6.793,7.0
1.355,0.0234,0.0461,0.03265,0.006733,0.305,3.549,8.0
1.371,0.0381,0.02621,0.02896,0.01362,0.1251,7.22,9.0
1.413,0.04245,0.03427,0.0199,0.01535,0.1423,6.367,10.0
1.304,0.02588,0.0367,0.014244,0.01959,0.4045,6.055,11.0
1.65,0.03116,0.04572,0.03123,0.00923,0.03061,7.496,12.0
1.433,0.0348,0.04846,0.04623,0.01223,0.03894,7.812,0.0
0.819,0.01226,0.0492,0.01079,0.03668,0.639,6.516,1.0
0.755,0.03041,0.0203,0.04343,0.02512,0.9424,8.42,2.0
1.763,0.02164,0.03937,0.00993,0.007023,0.812,7.016,3.0
0.7217,0.03256,0.0274,0.03302,0.02608,0.4534,5.0,4.0
0.7954,0.02292,0.02515,0.01996,0.02744,0.696,6.41,5.0
1.193,0.03705,0.03943,0.02306,0.01685,0.2778,4.023,6.0
1.014,0.02843,0.02681,0.03314,0.02036,0.6973,7.273,7.0
1.057,0.02278,0.0448,0.01866,0.02498,0.5347,6.375,8.0
1.282,0.03003,0.03333,0.02798,0.01662,0.519,6.477,9.0
1.577,0.03534,0.03934,0.0259,0.00642,0.3926,6.18,10.0
1.312,0.02792,0.04312,0.02293,0.01808,0.4822,6.402,11.0
1.657,0.02245,0.03778,0.01633,0.01275,0.9985,7.27,12.0
1.348,0.02089,0.03793,0.02544,0.006207,0.834,3.055,0.0
0.6084,0.04486,0.0412,0.02348,0.04672,0.8916,7.965,1.0
0.6763,0.00791,0.0178,0.0465,0.02992,0.2025,7.61,2.0
0.4097,0.01913,0.02023,0.04752,0.0467,0.06107,4.84,3.0
0.7695,0.02586,0.0311,0.02534,0.03114,0.313,7.883,4.0
0.6084,0.02083,0.02348,0.03555,0.03683,0.3628,6.55,5.0
1.151,0.0362,0.03973,0.02934,0.01907,0.396,6.082,6.0
1.167,0.03082,0.04715,0.01279,0.02443,0.889,6.46,7.0
1.373,0.03424,0.03537,0.0265,0.00651,0.9717,3.549,8.0
1.192,0.0384,0.02388,0.03558,0.01424,0.39,5.324,9.0
0.9224,0.02168,0.0282,0.03564,0.02219,0.4648,6.445,11.0
1.6,0.0416,0.0393,0.02155,0.01088,0.838,5.74,12.0
0.5444,0.04077,0.02454,0.02948,0.04395,0.2593,7.27,0.0
1.591,0.01187,0.04147,0.03143,0.005634,0.1698,5.96,1.0
0.697,0.04358,0.04346,0.0455,0.01932,0.1004,2.332,2.0
0.873,0.0329,0.02563,0.03647,0.02296,0.1481,7.832,3.0
1.524,0.005848,0.03577,0.04242,0.01253,0.9307,8.94,4.0
0.7676,0.03117,0.02057,0.03223,0.02322,0.0842,5.77,5.0
0.9507,0.0333,0.02956,0.02704,0.02382,0.2034,8.32,6.0
0.805,0.0204,0.04367,0.005646,0.04028,0.7783,9.016,7.0
0.9995,0.02174,0.02837,0.03143,0.02121,0.2632,6.42,8.0
1.152,0.0234,0.03207,0.03008,0.01933,0.2163,7.234,9.0
1.619,0.017,0.02524,0.01122,0.01355,0.2764,8.72,10.0
1.184,0.02357,0.0311,0.03354,0.01828,0.2433,7.7,11.0
1.222,0.0126,0.03564,0.0348,0.01794,0.397,6.86,12.0
0.579,0.01576,0.0463,0.02094,0.03378,0.2744,3.158,0.0
0.8247,0.02185,0.03717,0.02724,0.02533,0.436,4.492,1.0
0.9795,0.04636,0.03583,0.03745,0.02188,0.5483,7.746,2.0
1.333,0.03087,0.0489,0.0231,0.01558,0.28,4.57,3.0
0.6265,0.03973,0.01387,0.01178,0.03378,0.77,9.66,4.0
0.71,0.005653,0.01488,0.007023,0.03152,0.6035,8.21,5.0
0.8374,0.03256,0.02203,0.02051,0.02504,0.6353,7.832,6.0
1.004,0.03607,0.0326,0.0371,0.01857,0.7373,4.676,7.0
1.396,0.01089,0.0482,0.02864,0.013885,0.0964,4.527,8.0
1.571,0.02647,0.033,0.03824,0.006065,0.4133,8.89,9.0
0.7695,0.0499,0.006783,0.01646,0.01826,0.2369,3.016,10.0
1.1045,0.03123,0.02971,0.02238,0.02045,0.577,6.445,11.0
0.8594,0.03845,0.03104,0.02814,0.02403,0.4458,5.61,12.0
0.566,0.0239,0.02951,0.0419,0.04312,0.39,6.68,0.0
0.7983,0.013504,0.0265,0.00996,0.014656,0.6724,0.8145,1.0
1.221,0.0225,0.0287,0.03198,0.0156,0.786,5.14,2.0
0.591,0.02547,0.02208,0.006317,0.04175,0.2036,5.137,3.0
1.305,0.0305,0.03717,0.0211,0.01817,0.02205,6.305,4.0
1.24,0.02077,0.03378,0.01643,0.01417,0.529,2.484,5.0
1.025,0.01993,0.03903,0.0241,0.0208,0.4927,4.047,6.0
1.396,0.04712,0.03455,0.014366,0.01187,0.6665,2.979,7.0
1.045,0.02315,0.02435,0.02783,0.01382,0.5684,2.219,8.0
1.504,0.046,0.0394,0.01379,0.00641,0.2974,3.805,9.0
1.666,0.04712,0.04037,0.005066,0.01546,0.3525,7.684,10.0
0.786,0.0432,0.02628,0.0271,0.02788,0.6475,9.13,11.0
0.943,0.03078,0.01753,0.0051,0.02097,0.405,7.41,12.0
1.464,0.005234,0.0299,0.0461,0.007088,0.0678,5.707,0.0
0.641,0.0206,0.01878,0.03836,0.02304,0.538,3.408,1.0
0.5874,0.02142,0.04425,0.02936,0.03702,0.2382,4.3,2.0
0.7236,0.0273,0.01784,0.02489,0.02422,0.6094,5.625,3.0
0.7803,0.0365,0.02568,0.00941,0.03072,0.2148,7.305,4.0
0.868,0.02254,0.0244,0.03406,0.02133,0.486,5.23,5.0
1.187,0.02754,0.012794,0.02269,0.00976,0.4446,6.1,6.0
0.7915,0.02248,0.0186,0.0424,0.02162,0.467,6.957,7.0
0.733,0.04865,0.009254,0.02145,0.01604,0.3696,5.207,8.0
1.644,0.04013,0.049,0.03049,0.00711,0.9976,8.47,9.0
1.063,0.02438,0.02122,0.0381,0.01665,0.455,6.434,10.0
1.11,0.02834,0.02322,0.02788,0.0174,0.5635,5.95,11.0
1.626,0.02823,0.03238,0.0264,0.01167,0.643,9.33,12.0
0.687,0.01396,0.02571,0.02403,0.0314,0.3901,5.438,0.0
