datetime;value
07/10/2016 12:45:00;0
07/10/2016 12:45:01;0
07/10/2016 12:45:02;0
07/10/2016 12:45:03;0
07/10/2016 12:45:04;0
07/10/2016 12:45:05;0
07/10/2016 12:45:06;0
07/10/2016 12:45:07;0
07/10/2016 12:45:08;0
07/10/2016 12:45:09;0
07/10/2016 12:45:10;0
07/10/2016 12:45:11;0
07/10/2016 12:45:12;0
07/10/2016 12:45:13;0
07/10/2016 12:45:14;0
07/10/2016 12:45:15;0
07/10/2016 12:45:16;0
07/10/2016 12:45:17;0
07/10/2016 12:45:18;0
07/10/2016 12:45:19;0
07/10/2016 12:45:20;0
07/10/2016 12:45:21;0
07/10/2016 12:45:22;0
07/10/2016 12:45:23;0
07/10/2016 12:45:24;0
07/10/2016 12:45:25;0
07/10/2016 12:45:26;0
07/10/2016 12:45:27;0
07/10/2016 12:45:28;0
07/10/2016 12:45:29;0
07/10/2016 12:45:30;0
07/10/2016 12:45:31;0
07/10/2016 12:45:32;0
07/10/2016 12:45:33;0
07/10/2016 12:45:34;0
07/10/2016 12:45:35;0
07/10/2016 12:45:36;0
07/10/2016 12:45:37;0
07/10/2016 12:45:38;0
07/10/2016 12:45:39;0
07/10/2016 12:45:40;0
07/10/2016 12:45:41;0
07/10/2016 12:45:42;0
07/10/2016 12:45:43;0
07/10/2016 12:45:44;0
07/10/2016 12:45:45;0
07/10/2016 12:45:46;0
07/10/2016 12:45:47;0
07/10/2016 12:45:48;0
07/10/2016 12:45:49;0
07/10/2016 12:45:50;0
07/10/2016 12:45:51;0
07/10/2016 12:45:52;0
07/10/2016 12:45:53;0
07/10/2016 12:45:54;0
07/10/2016 12:45:55;0
07/10/2016 12:45:56;0
07/10/2016 12:45:57;0
07/10/2016 12:45:58;0
07/10/2016 12:45:59;0
07/10/2016 12:46:00;0
07/10/2016 12:46:01;0
07/10/2016 12:46:02;0
07/10/2016 12:46:03;0
07/10/2016 12:46:04;0
07/10/2016 12:46:05;0
07/10/2016 12:46:06;0
07/10/2016 12:46:07;0
07/10/2016 12:46:08;0
07/10/2016 12:46:09;0
07/10/2016 12:46:10;0
07/10/2016 12:46:11;0
07/10/2016 12:46:12;0
07/10/2016 12:46:13;0
07/10/2016 12:46:14;0
07/10/2016 12:46:15;0
07/10/2016 12:46:16;0
07/10/2016 12:46:17;0
07/10/2016 12:46:18;0
07/10/2016 12:46:19;0
07/10/2016 12:46:20;0
07/10/2016 12:46:21;0
07/10/2016 12:46:22;0
07/10/2016 12:46:23;0
07/10/2016 12:46:24;0
07/10/2016 12:46:25;0
07/10/2016 12:46:26;0
07/10/2016 12:46:27;0
07/10/2016 12:46:28;0
07/10/2016 12:46:29;0
07/10/2016 12:46:30;0
07/10/2016 12:46:31;0
07/10/2016 12:46:32;0
07/10/2016 12:46:33;0
07/10/2016 12:46:34;0
07/10/2016 12:46:35;0
07/10/2016 12:46:36;0
07/10/2016 12:46:37;0
07/10/2016 12:46:38;0
07/10/2016 12:46:39;0
07/10/2016 12:46:40;0
07/10/2016 12:46:41;0
07/10/2016 12:46:42;0
07/10/2016 12:46:43;0
07/10/2016 12:46:44;0
07/10/2016 12:46:45;0
07/10/2016 12:46:46;0
07/10/2016 12:46:47;0
07/10/2016 12:46:48;0
07/10/2016 12:46:49;0
07/10/2016 12:46:50;0
07/10/2016 12:46:51;0
07/10/2016 12:46:52;0
07/10/2016 12:46:53;0
07/10/2016 12:46:54;0
07/10/2016 12:46:55;0
07/10/2016 12:46:56;0
07/10/2016 12:46:57;0
07/10/2016 12:46:58;0
07/10/2016 12:46:59;0
07/10/2016 12:47:00;0
07/10/2016 12:47:01;0
07/10/2016 12:47:02;0
07/10/2016 12:47:03;0
07/10/2016 12:47:04;0
07/10/2016 12:47:05;0
07/10/2016 12:47:06;0
07/10/2016 12:47:07;0
07/10/2016 12:47:08;0
07/10/2016 12:47:09;0
07/10/2016 12:47:10;0
07/10/2016 12:47:11;0
07/10/2016 12:47:12;0
07/10/2016 12:47:13;0
07/10/2016 12:47:14;0
07/10/2016 12:47:15;0
07/10/2016 12:47:16;0
07/10/2016 12:47:17;0
07/10/2016 12:47:18;0
07/10/2016 12:47:19;0
07/10/2016 12:47:20;0
07/10/2016 12:47:21;0
07/10/2016 12:47:22;0
07/10/2016 12:47:23;0
07/10/2016 12:47:24;0
07/10/2016 12:47:25;0
07/10/2016 12:47:26;0
07/10/2016 12:47:27;0
07/10/2016 12:47:28;0
07/10/2016 12:47:29;0
07/10/2016 12:47:30;0
07/10/2016 12:47:31;0
07/10/2016 12:47:32;0
07/10/2016 12:47:33;0
07/10/2016 12:47:34;0
07/10/2016 12:47:35;0
07/10/2016 12:47:36;0
07/10/2016 12:47:37;0
07/10/2016 12:47:38;0
07/10/2016 12:47:39;0
07/10/2016 12:47:40;0
07/10/2016 12:47:41;0
07/10/2016 12:47:42;0
07/10/2016 12:47:43;0
07/10/2016 12:47:44;0
07/10/2016 12:47:45;0
07/10/2016 12:47:46;0
07/10/2016 12:47:47;0
07/10/2016 12:47:48;0
07/10/2016 12:47:49;0
07/10/2016 12:47:50;0
07/10/2016 12:47:51;0
07/10/2016 12:47:52;0
07/10/2016 12:47:53;0
07/10/2016 12:47:54;0
07/10/2016 12:47:55;0
07/10/2016 12:47:56;0
07/10/2016 12:47:57;0
07/10/2016 12:47:58;0
07/10/2016 12:47:59;0
07/10/2016 12:48:00;0
07/10/2016 12:48:01;0
07/10/2016 12:48:02;0
07/10/2016 12:48:03;0
07/10/2016 12:48:04;0
07/10/2016 12:48:05;0
07/10/2016 12:48:06;0
07/10/2016 12:48:07;0
07/10/2016 12:48:08;0
07/10/2016 12:48:12;0
07/10/2016 12:48:13;0
07/10/2016 12:48:14;0
07/10/2016 12:48:15;0
07/10/2016 12:48:16;0
07/10/2016 12:48:17;0
07/10/2016 12:48:18;0
07/10/2016 12:48:19;0
07/10/2016 12:48:20;0
07/10/2016 12:48:21;0
07/10/2016 12:48:22;0
07/10/2016 12:48:23;0
07/10/2016 12:48:24;0
07/10/2016 12:48:25;0
07/10/2016 12:48:26;0
07/10/2016 12:48:27;0
07/10/2016 12:48:28;0
07/10/2016 12:48:29;0
07/10/2016 12:48:30;0
07/10/2016 12:48:31;0
07/10/2016 12:48:32;0
07/10/2016 12:48:33;0
07/10/2016 12:48:34;0
07/10/2016 12:48:35;0
07/10/2016 12:48:36;0
07/10/2016 12:48:37;0
07/10/2016 12:48:38;0
07/10/2016 12:48:39;0
07/10/2016 12:48:40;0
07/10/2016 12:48:41;0
07/10/2016 12:48:42;0
07/10/2016 12:48:43;0
07/10/2016 12:48:44;0
07/10/2016 12:48:45;0
07/10/2016 12:48:46;0
07/10/2016 12:48:47;0
07/10/2016 12:48:48;0
07/10/2016 12:48:49;0
07/10/2016 12:48:50;0
07/10/2016 12:48:51;0
07/10/2016 12:48:52;0
07/10/2016 12:48:53;0
07/10/2016 12:48:54;0
07/10/2016 12:48:55;0
07/10/2016 12:48:56;0
07/10/2016 12:48:57;0
07/10/2016 12:48:58;0
07/10/2016 12:48:59;0
07/10/2016 12:49:00;0
07/10/2016 12:49:01;0
07/10/2016 12:49:02;0
07/10/2016 12:49:03;0
07/10/2016 12:49:04;0
07/10/2016 12:49:05;0
07/10/2016 12:49:06;0
07/10/2016 12:49:07;0
07/10/2016 12:49:08;0
07/10/2016 12:49:09;0
07/10/2016 12:49:10;0
07/10/2016 12:49:11;0
07/10/2016 12:49:12;0
